NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
216,612,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH KARYA,AKTIF
217,613,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH HM JONI,AKTIF
218,616,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH KOTA BARU MARELAN,AKTIF
219,617,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH HM YAMIN,AKTIF
220,618,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH MARELAN RAYA,AKTIF
221,620,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH PADANG SIDIMPUAN,AKTIF
222,621,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH PANYABUNGAN,AKTIF
223,630,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH TEBING TINGGI,AKTIF
224,631,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH LUBUK PAKAM,AKTIF
225,632,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH KISARAN,AKTIF
226,633,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH KAMPUNG PON,AKTIF
227,650,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH SIBOLGA,AKTIF
228,660,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH PEMATANG SIANTAR,AKTIF
229,661,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH PERDAGANGAN,AKTIF
230,662,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH RANTAU PRAPAT,AKTIF
231,614,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH MEDAN RINGROAD,AKTIF
232,611,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH MULTATULI,AKTIF
233,615,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH BINJAI,AKTIF
234,619,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH HAMPARAN PERAK,AKTIF
235,640,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH STABAT,AKTIF
236,641,CABANG PEMBANTU SYARIAH,CABANG PEMBANTU SYARIAH KELAS 3,CAPEM SYARIAH SIMPANG KAYU BESAR,AKTIF
